configuration,trace_decode_only,sample,source_file,ttft_s,total_s,decode_tps,mean_itl_s,p95_itl_s,completion_text_sha256_12
baseline,true,1,run_03.json,0.628277154,5.532595996,25.895543110,0.038616684,0.039740974,5119e79e42b5
baseline,true,2,run_04.json,0.622858381,5.571408527,25.664082661,0.038964962,0.039904655,5119e79e42b5
baseline,true,3,run_05.json,0.618038869,5.508046247,25.971330958,0.038503995,0.039697639,5119e79e42b5
baseline,true,4,run_06.json,0.612934907,5.470016014,26.147391242,0.038244733,0.039559812,5119e79e42b5
baseline,true,5,run_07.json,0.624451681,5.409658964,26.540125117,0.037678798,0.039181895,5119e79e42b5
baseline,true,6,run_08.json,0.620183219,5.446005052,26.316761040,0.037998597,0.039586309,5119e79e42b5
baseline,true,7,run_09.json,0.619112455,5.475498709,26.151132418,0.038239262,0.039529971,5119e79e42b5
baseline,true,8,run_10.json,0.621136409,5.540373302,25.817012427,0.038734149,0.040083155,5119e79e42b5
baseline,true,9,run_11.json,0.617346258,5.572795575,25.628352118,0.039019286,0.039594611,5119e79e42b5
baseline,true,10,run_12.json,0.618700066,5.442224843,26.329293592,0.037980510,0.039126371,5119e79e42b5
baseline,true,11,run_13.json,0.617656949,5.476929686,26.135598241,0.038261990,0.039554064,5119e79e42b5
baseline,true,12,run_14.json,0.620114191,5.512839400,25.956904297,0.038525395,0.039817860,5119e79e42b5
baseline,true,13,run_15.json,0.614108393,5.488603657,26.053979565,0.038381852,0.039639113,5119e79e42b5
baseline,true,14,run_16.json,0.614357686,5.522606239,25.874810256,0.038647626,0.040068227,5119e79e42b5
baseline,true,15,run_17.json,0.617419028,5.525500473,25.875691229,0.038646311,0.039838260,5119e79e42b5
baseline,true,16,run_18.json,0.626823363,5.590462073,25.586068491,0.039083769,0.039968940,5119e79e42b5
baseline,true,17,run_19.json,0.618582578,5.570489258,25.646686864,0.038991391,0.039980513,5119e79e42b5
baseline,true,18,run_20.json,0.618125223,5.581813188,25.585814599,0.039084157,0.039714003,5119e79e42b5
baseline,true,19,run_21.json,0.616815087,5.575655945,25.610823908,0.039045991,0.039716688,5119e79e42b5
baseline,true,20,run_22.json,0.626633377,5.483916733,26.146302509,0.038246326,0.039763292,5119e79e42b5
baseline,true,21,run_23.json,0.609566252,5.457869566,26.194730770,0.038175617,0.039710854,5119e79e42b5
baseline,true,22,run_24.json,0.611262138,5.393689763,26.555550854,0.037656910,0.038722142,5119e79e42b5
baseline,true,23,run_25.json,0.615680806,5.379867914,26.657223388,0.037513284,0.038070141,5119e79e42b5
baseline,true,24,run_26.json,0.625572244,5.443103780,26.362048500,0.037933319,0.039628642,5119e79e42b5
baseline,true,25,run_27.json,0.613797500,5.528820768,25.839145224,0.038700971,0.039598300,5119e79e42b5
baseline,true,26,run_28.json,0.612241094,5.432805025,26.345465348,0.037957196,0.039430819,5119e79e42b5
baseline,true,27,run_29.json,0.625037450,5.513680988,25.978576473,0.038493256,0.039659095,5119e79e42b5
baseline,true,28,run_30.json,0.619537657,5.554542663,25.734523034,0.038858307,0.039829956,5119e79e42b5
baseline,true,29,run_31.json,0.617412384,5.538347875,25.808100966,0.038747524,0.039859916,5119e79e42b5
baseline,true,30,run_32.json,0.621475482,5.576446657,25.630825188,0.039015521,0.039727911,5119e79e42b5
baseline,true,31,run_33.json,0.615023492,5.592985260,25.512449858,0.039196549,0.039861192,5119e79e42b5
baseline,true,32,run_34.json,0.622588212,5.505434210,26.009421565,0.038447606,0.039742415,5119e79e42b5
optimized,false,1,run_03.json,0.058261085,4.967027381,25.872081159,0.038651703,0.039886976,5119e79e42b5
optimized,false,2,run_04.json,0.059747833,4.847721270,26.524792101,0.037700578,0.038301571,5119e79e42b5
optimized,false,3,run_05.json,0.058760760,4.836630562,26.580883378,0.037621022,0.038205503,5119e79e42b5
optimized,false,4,run_06.json,0.058403913,4.846582819,26.523653876,0.037702196,0.038418852,5119e79e42b5
optimized,false,5,run_07.json,0.058513157,4.876365076,26.360295446,0.037935842,0.039790860,5119e79e42b5
optimized,false,6,run_08.json,0.058239781,4.905094003,26.202562360,0.038164206,0.039393104,5119e79e42b5
optimized,false,7,run_09.json,0.057877824,4.933240243,26.049345481,0.038388680,0.040175537,5119e79e42b5
optimized,false,8,run_10.json,0.058173847,4.963172648,25.891953322,0.038622038,0.039790253,5119e79e42b5
optimized,false,9,run_11.json,0.058714007,5.000225043,25.700640771,0.038909536,0.039984552,5119e79e42b5
optimized,false,10,run_12.json,0.058500838,4.876598489,26.358951022,0.037937777,0.039093944,5119e79e42b5
optimized,false,11,run_13.json,0.058195823,4.895272397,26.255528119,0.038087217,0.039654917,5119e79e42b5
optimized,false,12,run_14.json,0.058765973,4.975409524,25.830629917,0.038713729,0.039763642,5119e79e42b5
optimized,false,13,run_15.json,0.058205941,4.964403876,25.885625016,0.038631480,0.039809723,5119e79e42b5
optimized,false,14,run_16.json,0.058871391,5.026255477,25.566776758,0.039113261,0.039896648,5119e79e42b5
optimized,false,15,run_17.json,0.059239803,4.990401255,25.754581600,0.038828043,0.040065956,5119e79e42b5
optimized,false,16,run_18.json,0.058570232,4.857313623,26.465261768,0.037785381,0.039160248,5119e79e42b5
optimized,false,17,run_19.json,0.058424987,4.839000845,26.565837207,0.037642330,0.038363092,5119e79e42b5
optimized,false,18,run_20.json,0.058595436,4.838490437,26.569621294,0.037636969,0.038178909,5119e79e42b5
optimized,false,19,run_21.json,0.058310161,4.836609589,26.578493440,0.037624405,0.038230626,5119e79e42b5
optimized,false,20,run_22.json,0.059338520,4.839430408,26.568526919,0.037638519,0.038070481,5119e79e42b5
optimized,false,21,run_23.json,0.058476819,4.840853796,26.555832092,0.037656512,0.038086782,5119e79e42b5
optimized,false,22,run_24.json,0.079245579,4.990399097,25.859505213,0.038670500,0.039794876,5119e79e42b5
optimized,false,23,run_25.json,0.057674014,4.994783175,25.723555194,0.038874875,0.040059933,5119e79e42b5
optimized,false,24,run_26.json,0.058512011,4.949823681,25.964405576,0.038514265,0.039828340,5119e79e42b5
optimized,false,25,run_27.json,0.059375748,4.965055036,25.888361742,0.038627396,0.040139494,5119e79e42b5
optimized,false,26,run_28.json,0.058628211,5.050512484,25.441294921,0.039306175,0.039969171,5119e79e42b5
optimized,false,27,run_29.json,0.058377253,4.973923393,25.836396686,0.038705088,0.039898575,5119e79e42b5
optimized,false,28,run_30.json,0.057953964,4.949283478,25.964310856,0.038514406,0.039929486,5119e79e42b5
optimized,false,29,run_31.json,0.057925970,4.968057701,25.864886516,0.038662455,0.039883383,5119e79e42b5
optimized,false,30,run_32.json,0.058541969,4.948478140,25.971709151,0.038503434,0.039777114,5119e79e42b5
optimized,false,31,run_33.json,0.057814426,5.046781562,25.456170894,0.039283206,0.040057755,5119e79e42b5
optimized,false,32,run_34.json,0.058598065,4.962239696,25.899119380,0.038611351,0.040199304,5119e79e42b5
